contentid,title,mapx,mapy,nx,ny
304801,망해암,126.9262579,37.41160741,59,123
2657245,망향대,126.2406982,37.8167648,47,132
128746,망향의 동산(횡성),128.0673506,37.54602939,79,127
3000163,망향정,128.9168965,35.73436072,95,88
1956976,매계서원,127.3641429,35.4824307,67,82
1958233,매림서원,128.2241838,35.68444253,82,86
126087,매물도,128.5701426,34.6389356,89,64
2536133,매미성,128.7025779,34.96871505,91,71
127824,매봉산,128.6321225,37.15236325,89,118
2610091,매봉산풍력발전단지(바람의 언덕),128.9702237,37.21658736,94,120
127462,매산관광농원,127.9291764,37.28117687,76,121
128537,매산리석불입상,127.4349432,37.08507378,68,116
2782401,매산마을 담장벽화,127.6412208,37.12159554,71,117
1955880,매산서원,127.5764019,37.30640635,70,121
2751585,매송체육공원,126.9283873,37.24846248,59,120
1955558,매양서원,128.537922,35.91530546,88,91
2787555,매운탕골,127.6648607,37.96754514,71,136
2819158,매원마을,128.4310237,35.99414456,86,93
2660381,매월당,127.2729128,35.34890534,66,79
125775,매월대폭포,127.4768433,38.1950151,68,140
2751115,매쟁이골,126.9007399,37.34369817,59,122
1608758,매창공원,126.728721,35.71882351,56,87
2733413,매천 황현 생가,127.5617659,34.99346429,71,71
231912,매천사,127.4622707,35.25288335,69,77
2739476,매탄공원,127.0454956,37.26718462,61,120
1129226,매학정일원,128.3624936,36.19560096,84,97
1686758,매학폭포,128.0598722,36.82445964,79,111
2863621,매향리평화생태공원,126.7556892,37.04368867,56,115
2737278,매향항선착장,126.7487567,37.03550617,56,115
1131275,매헌 시민의 숲,127.0369572,37.47303838,61,125
801460,매화둠벙마을,126.2268044,36.81204518,47,110
128362,매화마을(매호리마을),127.8831155,37.41425786,75,124
125609,매화산(강원),128.0965382,37.40636276,79,124
1906036,매화산(),128.1014675,35.76268702,80,88
2487927,맥도생태공원,128.954926,35.15234909,96,75
3029498,맥문동숲길,126.9171207,35.18274859,59,75
2373320,맥아더 사령관 한강방어선 시찰지,126.9122202,37.51575063,59,126
2784324,맥전포항,128.1645211,34.8998159,82,69
2469467,맥파이 브루어리,126.6172288,33.5031898,54,38
2794725,맨발의청춘길,129.3204358,35.5536053,102,84
2661533,맨삽지(학성리 공룡발자국화석),126.4844989,36.45297428,51,102
3077084,맴섬,126.5297763,34.29848879,53,55
2746222,맷돌포선착장,126.8150985,36.91008848,57,112
3060304,맹개마을,128.8801285,36.76615948,93,110
580035,맹골도,125.8537126,34.21645381,40,54
2717288,맹글(레몬트리협동조합),128.7127452,37.36097134,90,123
127381,맹방 벚꽃길,129.2069746,37.40268167,98,124
127872,맹방해변,129.2320061,37.38980309,99,124
231934,맹산반딧불이자연학교,127.1449826,37.4075618,63,123
2500244,맹산환경생태학습원,127.1420274,37.40528424,63,123
2750960,머드광장,126.510378,36.31510166,52,99
2792992,먹점마을,127.7150825,35.12091651,74,74
2758238,먼동해수욕장,126.1874783,36.88360846,46,112
1678005,멍딩이마을,127.7177024,36.84050708,73,111
2570170,멍우리 협곡 (한탄강 유네스코 세계지질공원),127.2510836,38.09745289,64,138
1329201,메이즈랜드,126.800691,33.4887499,58,38
3035853,메추리섬,126.5386128,37.20344971,52,119
2736857,메타세콰이어길,127.1345589,36.49145893,63,103
2720179,메타세쿼이아 숲길 (마포구),126.8834408,37.56635534,58,127
2783005,메타세쿼이아랜드(메타세콰이어길),127.0083535,35.32497018,61,78
2714688,멜라콩다리 비석,126.3863994,34.79049789,50,66
2932020,면봉산 칼데라,129.0175909,36.2077618,96,98
742828,면앙정,126.9630363,35.28437122,60,77
1954651,면천향교,126.672525,36.82062409,55,110
1957397,명곡서원,126.8494869,34.65732606,58,63
129571,명국삼장비,127.1294657,36.46029575,63,103
2792940,명달리계곡,127.4480546,37.61795957,68,128
2789693,명달리산촌생태마을,127.4480296,37.61818454,68,128
127630,명대골계곡,126.6751068,36.45016121,55,102
2782676,명덕생태수변공원,128.498919,35.54617148,87,83
264311,명동,126.9850038,37.56514341,60,127
1957600,명동 남대문 북창동 다동무교동 관광특구,126.9753048,37.55997717,60,127
2784360,명동공원 / 명동근린공원,129.1665784,35.40290269,99,81
2583158,명동관광정보센터,126.9849816,37.56515452,60,127
2784009,명동도선장,128.7221505,35.09748154,92,74
2743313,명동선착장,128.7217367,35.09698159,92,74
2761662,명락사,126.9470207,37.48146357,59,125
2774392,명량해상케이블카,126.3089615,34.57285167,49,61
1624311,명량해협 울돌목,126.3053146,34.5717434,48,61
126162,명봉사(예천),128.3763453,36.77765699,84,110
129079,명사마을,128.6021042,34.72555152,90,66
2615241,명사십리 및 구시포  (전북 서해안 국가지질공원),126.4356957,35.44557741,51,81
126577,명사해수욕장,128.6047817,34.72725137,90,66
3051657,명상정원,127.4860165,36.37954742,69,101
3043298,명선도,129.3473576,35.38577466,102,80
125469,명성산,127.3504217,38.09567437,66,138
2568489,명성산성(울음산성),127.350154,38.13412543,66,139
3011204,명성산억새밭,127.3419174,38.08235632,66,138
126790,명성황후 생가,127.6556516,37.26049366,72,120
770346,명암산채건강마을,128.1437625,37.19071074,80,119
127969,명암유원지,127.512118,36.64412313,69,107
127909,명월대,126.2753918,33.38168949,48,35
2789885,명월리산촌생태마을,127.6370131,37.88024645,71,134
2704407,명월성지,126.2604038,33.40078436,48,36
2469089,명인소주,128.5413467,36.60388274,87,106
2783140,명장섬해수욕장 (장고도),126.3457239,36.40142506,49,101
2615317,명종대왕태실및비,126.5828231,36.77811355,53,110
128288,명주사(양양),128.6806551,37.94857501,89,136
2712951,명주사부도군,128.6806551,37.94857501,89,136
2774721,명주예술마당,128.8903007,37.75045204,93,131
125493,명지계곡,127.4777426,37.93503712,68,135
2789340,명지동근린공원,128.9066569,35.0870333,95,74
127806,명지산군립공원,127.448718,37.91870516,68,134
1956330,명탄서원,127.1562856,36.45885472,63,103
126776,명파해변,128.4051116,38.54396697,84,148
3060334,명품십리길,128.7272262,35.36394061,91,80
894145,명품옻골 1616 협동조합,128.6868425,35.90776184,90,91
1958237,명호서원,128.739125,36.55279228,91,105
2699663,명활산성,129.26686,35.84346053,101,90
3101687,모곡 피정의 집,127.6046887,37.67467531,71,129
2750380,모곡공원,127.0758521,37.03545362,62,115
125732,모곡밤벌유원지,127.6068877,37.70312482,71,130
1926601,모구리오름,126.8221716,33.40665654,58,36
2397543,모꼬지마을,127.6123259,37.51719372,71,126
126715,모나용평,128.685525,37.64843764,89,129
3075272,모네정원,126.8119177,37.53172754,57,126
2996333,모단아트(모단공예협동조합),128.8795582,35.22776425,94,77
2854739,모담공원,126.6847344,37.64801175,55,128
128041,모덕사,127.0077659,36.44609246,61,102
1599347,모덕사(벽제서원),126.8844028,35.78000531,59,88
580069,모도,126.3556307,34.40756264,49,58
128029,모둘자리 힐링체험마을,128.2305364,37.71191603,81,130
129216,모래미 해변,126.4139525,35.36275311,50,79
128721,모래시계공원,129.0375505,37.68716778,95,130
3052795,모래아트스튜디오,128.6863082,35.23548208,91,77
1578586,모리재,127.7974527,35.76517573,75,88
1612615,모명재,128.6516581,35.85802516,90,90
128753,모사금해수욕장,127.755765,34.79655642,74,67
2865776,모산공원,128.8219455,35.16731164,93,75
988016,모산목장,126.7240265,37.80234724,55,132
129493,모상개해수욕장,128.0756554,34.83936555,80,68
2966354,모아베리교육농장,127.0416936,38.03131512,61,137
127573,모악산,127.1098841,35.72950938,63,87
127574,모악산도립공원,127.0561029,35.72282866,62,87
128468,모암마을 [산촌체험마을],126.7582882,35.37508248,56,79
3056930,모암저수지,126.7524638,35.37400751,56,79
3089931,모영재,128.7190417,35.93431499,91,92
304803,모운사(),128.6507917,36.53477324,89,105
1114250,모원재,127.2732667,36.25487735,65,98
2761644,모월저수지,126.4425125,36.71294919,51,108
304804,모은암,128.8614926,35.34959747,94,79
3114431,모주체험여,127.1506088,35.81413935,63,89
1928045,모지오름,126.7728761,33.39626245,57,36
2715701,모충공원,128.0481739,34.96656748,80,71
126459,모충사,126.5455209,33.51614278,53,38
962201,모평마을,126.5943526,35.16040681,54,74
2736406,모포항,129.5260903,35.93351641,105,92
