contentid,title,addr1,addr2,areacode,sigungucode,mapx,mapy,modifiedtime,firstimage,firstimage2,cat1,cat2,cat3,contenttypeid,NX,NY
126233,하동송림,경상남도 하동군 하동읍 섬진강대로 2107-8,,36.0,18.0,127.7456535,35.06204033,20231100000000.0,http://tong.visitkorea.or.kr/cms/resource/81/1322281_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/1322281_image3_1.jpg,A01,A0101,A01010600,12,73,71
2786876,하동읍성,경상남도 하동군 고전면 고하리 산120,,36.0,18.0,127.8308914,35.02657914,20231200000000.0,http://tong.visitkorea.or.kr/cms/resource/46/2790846_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/2790846_image2_1.jpg,A02,A0201,A02010200,12,75,71
2788261,재첩특화마을(재첩특화마을),경상남도 하동군 하동읍 신기리,,36.0,18.0,127.7772204,35.05453895,20230100000000.0,http://tong.visitkorea.or.kr/cms/resource/60/2790760_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/2790760_image2_1.jpg,A02,A0203,A02030100,12,74,71
2677904,하동천 생태탐방로,경기도 김포시 하성면 봉성리 643-49,,31.0,8.0,126.6531777,37.69204773,20230300000000.0,http://tong.visitkorea.or.kr/cms/resource/03/2677903_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/03/2677903_image2_1.bmp,A01,A0101,A01010500,12,53,128
2988949,케이블카,경상남도 하동군 경충로 461-7,,36.0,18.0,127.8952981,34.98087707,20230500000000.0,,,A02,A0203,A02030400,12,76,70
2786903,포구공원,경상남도 하동군 하동읍 목도리 47-59,,36.0,18.0,127.775135,35.03235529,20230200000000.0,http://tong.visitkorea.or.kr/cms/resource/85/2790885_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2790885_image2_1.jpg,A02,A0202,A02020700,12,74,71
1323490,하동향교,경상남도 하동군 하동읍 향교2길 5,,36.0,18.0,127.7435063,35.0705199,20231200000000.0,http://tong.visitkorea.or.kr/cms/resource/90/1322390_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/1322390_image3_1.jpg,A02,A0201,A02010700,12,73,72
2765280,하례감귤체험농장,제주특별자치도 서귀포시 남원읍 하례로 504,,39.0,3.0,126.6165503,33.29135209,20231100000000.0,,,A02,A0203,A02030100,12,53,32
1959409,하로서원,경상북도 김천시 하리안길 19-6,(양천동),35.0,6.0,128.1089467,36.09511887,20231100000000.0,,,A02,A0201,A02010700,12,79,94
3030251,하루체험농장,경상북도 칠곡군 석적읍 석적로 361-46,,35.0,22.0,128.4091219,36.02781533,20231100000000.0,,,A02,A0203,A02030100,12,84,93
