contentid,title,addr1,addr2,areacode,sigungucode,mapx,mapy,modifiedtime,firstimage,firstimage2,cat1,cat2,cat3,contenttypeid
2764949,어린이미술관자란다,경기도 파주시 탄현면 새오리로427번길 38-6,,31,27,126.6989644458,37.8179060871,20240724135658,http://tong.visitkorea.or.kr/cms/resource/99/3336999_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/3336999_image3_1.jpg,A02,A0206,A02060500,14
130637,어반아트,서울특별시 용산구 소월로44길 7 어반아트,,1,21,126.9927953989,37.5424878528,20231206144004,http://tong.visitkorea.or.kr/cms/resource/34/2565934_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/34/2565934_image2_1.bmp,A02,A0206,A02060500,14
1587143,어진박물관,전북특별자치도 전주시 완산구 태조로 44,(풍남동3가),37,12,127.1493588361,35.8162252063,20240821091807,http://tong.visitkorea.or.kr/cms/resource/28/3351228_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/3351228_image3_1.jpg,A02,A0206,A02060100,14
2552568,얼음골축음기소리박물관(밀양),경상남도 밀양시 산내면 산내로 926-1,,36,7,128.9351626245,35.5981819708,20240607113652,http://tong.visitkorea.or.kr/cms/resource/82/2988482_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/2988482_image3_1.jpg,A02,A0206,A02060100,14
3081851,엄미술관,경기도 화성시 봉담읍 수기리,,31,31,126.9794032878,37.2056794473,20240116101902,http://tong.visitkorea.or.kr/cms/resource/44/3081844_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/44/3081844_image3_1.JPG,A02,A0206,A02060500,14
804318,엄홍길전시관,경상남도 고성군 거류면 거류로 335,,36,3,128.3867830796,34.9725672637,20240724094305,,,A02,A0206,A02060300,14
1285440,에너지환경과학공원 에너지전시관,경상남도 창원시 진해구 천자로 101,(덕산동),36,16,128.6901742396,35.1446312289,20231108154343,,,A02,A0206,A02060300,14
2732184,에무,서울특별시 종로구 경희궁1가길 7,(신문로2가),1,23,126.9690495022,37.5721256494,20231004155712,,,A02,A0206,A02060600,14
2745602,에스팩토리,서울특별시 성동구 연무장15길 11,(성수동2가),1,16,127.0590032474,37.5428834410,20230914163420,http://tong.visitkorea.or.kr/cms/resource/78/2787478_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/2787478_image2_1.jpg,A02,A0206,A02060300,14
3348600,에이블아트갤러리,대전광역시 중구 계룡로904번안길 42 (문화동),,3,5,127.4142912499,36.3194696850,20240816154626,http://tong.visitkorea.or.kr/cms/resource/50/3349550_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/3349550_image3_1.jpg,A02,A0206,A02060300,14
3013880,에이씨티 그라운드 화성ICT 생활문화센터,경기도 화성시 팔탄면 율암리,,31,31,126.8870237597,37.1703124558,20231110140219,http://tong.visitkorea.or.kr/cms/resource/80/3003980_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/3003980_image3_1.jpg,A02,A0206,A02060300,14
2733057,에코리움,경기도 오산시 오산천로 52,(오산동),31,22,127.0645557783,37.1383054241,20240618152609,http://tong.visitkorea.or.kr/cms/resource/58/2733058_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/58/2733058_image2_1.JPG,A02,A0206,A02060300,14
2736429,에코센터,경기도 김포시 김포한강11로 455,(운양동),31,8,126.6993634541,37.6548362130,20240620155008,http://tong.visitkorea.or.kr/cms/resource/06/2736606_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/2736606_image2_1.jpg,A02,A0206,A02060300,14
915509,에티오피아한국전참전기념관,강원특별자치도 춘천시 이디오피아길 1,(근화동),32,13,127.7117508840,37.8738208146,20240531102248,http://tong.visitkorea.or.kr/cms/resource/53/2743053_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/2743053_image3_1.jpg,A02,A0206,A02060200,14
250468,엑스코(EXCO),대구광역시 북구 엑스코로 10,(산격동),4,5,128.6130934176,35.9071188858,20230927144625,http://tong.visitkorea.or.kr/cms/resource/79/1574379_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/1574379_image3_1.jpg,A02,A0206,A02060400,14
2615316,여미갤러리,충청남도 서산시 운산면 운정로 112,,34,7,126.5799055531,36.8206919167,20231011154413,http://tong.visitkorea.or.kr/cms/resource/53/2520353_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/53/2520353_image2_1.JPG,A02,A0206,A02060500,14
130724,여성생활사박물관,경기도 여주시 강천면 강천로 324-20,,31,20,127.7082029441,37.2433716017,20231213155634,http://tong.visitkorea.or.kr/cms/resource/89/1591389_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/1591389_image3_1.jpg,A02,A0206,A02060100,14
2806218,여수 녹테마레,전라남도 여수시  만성로 (294),,38,13,127.7258515174,34.7745889154,20240520093949,http://tong.visitkorea.or.kr/cms/resource/42/2806242_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/42/2806242_image2_1.JPG,A02,A0206,A02060500,14
3010511,여수 민속 전시관,전라남도 여수시 서부로 1442 율촌중앙초등학교,,38,13,127.5566200664,34.8465029270,20230913155149,http://tong.visitkorea.or.kr/cms/resource/99/3010499_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/3010499_image3_1.jpg,A02,A0206,A02060300,14
3007161,여수 테디베어뮤지엄,전라남도 여수시 안심산길 155,,38,13,127.6419373099,34.7481182078,20230906144141,http://tong.visitkorea.or.kr/cms/resource/14/3008114_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/3008114_image3_1.jpg,A02,A0206,A02060100,14
